unixtime,datetime,order_sheet,box,item
1634873555000,2021-10-22 12:32:35+09:00,DEN020001,BOX01,ITEM403
1634873660000,2021-10-22 12:34:20+09:00,DEN020002,BOX02,ITEM102
1634873662000,2021-10-22 12:34:22+09:00,DEN020002,BOX02,ITEM105
1634873817000,2021-10-22 12:36:57+09:00,DEN020003,BOX03,ITEM223
1634873823000,2021-10-22 12:37:03+09:00,DEN020003,BOX03,ITEM107
1634873826000,2021-10-22 12:37:06+09:00,DEN020003,BOX03,ITEM207
1634873951000,2021-10-22 12:39:11+09:00,DEN020004,BOX04,ITEM221
1634873954000,2021-10-22 12:39:14+09:00,DEN020004,BOX04,ITEM305
1634874051000,2021-10-22 12:40:51+09:00,DEN020005,BOX05,ITEM209
1634874145000,2021-10-22 12:42:25+09:00,DEN020006,BOX06,ITEM220
1634874259000,2021-10-22 12:44:19+09:00,DEN020007,BOX07,ITEM302
1634874262000,2021-10-22 12:44:22+09:00,DEN020007,BOX07,ITEM213
1634874359000,2021-10-22 12:45:59+09:00,DEN020008,BOX08,ITEM202
1634874461000,2021-10-22 12:47:41+09:00,DEN020009,BOX09,ITEM310
1634874558000,2021-10-22 12:49:18+09:00,DEN020010,BOX10,ITEM301
1634874661000,2021-10-22 12:51:01+09:00,DEN020011,BOX11,ITEM311
1634874784000,2021-10-22 12:53:04+09:00,DEN020012,BOX12,ITEM306
1634874785000,2021-10-22 12:53:05+09:00,DEN020012,BOX12,ITEM312
1634874937000,2021-10-22 12:55:37+09:00,DEN020013,BOX13,ITEM212
1634874938000,2021-10-22 12:55:38+09:00,DEN020013,BOX13,ITEM224
1634874942000,2021-10-22 12:55:42+09:00,DEN020013,BOX13,ITEM218
1634874949000,2021-10-22 12:55:49+09:00,DEN020013,BOX13,ITEM208
1634875089000,2021-10-22 12:58:09+09:00,DEN020014,BOX14,ITEM222
1634875090000,2021-10-22 12:58:10+09:00,DEN020014,BOX14,ITEM206
1634875091000,2021-10-22 12:58:11+09:00,DEN020014,BOX14,ITEM303
1634875253000,2021-10-22 13:00:53+09:00,DEN020015,BOX15,ITEM211
1634875256000,2021-10-22 13:00:56+09:00,DEN020015,BOX15,ITEM109
1634875358000,2021-10-22 13:02:38+09:00,DEN020016,BOX16,ITEM304
1634875455000,2021-10-22 13:04:15+09:00,DEN020017,BOX17,ITEM308
1634875543000,2021-10-22 13:05:43+09:00,DEN020018,BOX18,ITEM103
1634875678000,2021-10-22 13:07:58+09:00,DEN020019,BOX19,ITEM214
1634875679000,2021-10-22 13:07:59+09:00,DEN020019,BOX19,ITEM217
1634875683000,2021-10-22 13:08:03+09:00,DEN020019,BOX19,ITEM309
1634875786000,2021-10-22 13:09:46+09:00,DEN020020,BOX20,ITEM203
